Date,signal,price,cash,holdings,total,benchmark
2025-07-31 04:00:00+00:00,1,177.85997009277344,10000.0,0.0,10000.0,10000.0
2025-08-01 04:00:00+00:00,1,173.710205078125,-10.0,9995.002498750626,9985.002498750626,9766.68358751641
2025-08-04 04:00:00+00:00,1,179.98985290527344,-10.0,10356.323215028604,10346.323215028604,10119.750543722066
2025-08-05 04:00:00+00:00,1,178.24993896484375,-10.0,10256.211398486885,10246.211398486885,10021.925612146842
2025-08-06 04:00:00+00:00,1,179.40988159179688,-10.0,10322.952609514698,10312.952609514698,10087.14223319699
2025-08-07 04:00:00+00:00,1,180.7598114013672,-10.0,10400.625373839195,10390.625373839195,10163.040694715126
2025-08-08 04:00:00+00:00,-1,182.689697265625,-10.0,10511.66786571171,10501.66786571171,10271.546608848092
2025-08-11 04:00:00+00:00,1,182.0497283935547,10485.900363913142,0.0,10485.900363913142,10235.564995237311
2025-08-12 04:00:00+00:00,1,183.1496734619141,-10.48590036391397,10480.660033896194,10470.17413353228,10297.408313201757
2025-08-13 04:00:00+00:00,1,181.5797576904297,-10.48590036391397,10390.822289870943,10380.336389507029,10209.14135967278
2025-08-14 04:00:00+00:00,1,182.00973510742188,-10.48590036391397,10415.42755967332,10404.941659309407,10233.31641248359
2025-08-15 04:00:00+00:00,1,180.4398193359375,-10.48590036391397,10325.58981564807,10315.103915284157,10145.049458954614
2025-08-18 04:00:00+00:00,1,181.99972534179688,-10.48590036391397,10414.854755209346,10404.368854845432,10232.753623362476
2025-08-19 04:00:00+00:00,1,175.63009643554688,-10.48590036391397,10050.35552435286,10039.869623988947,9874.627570438508
2025-08-20 04:00:00+00:00,1,175.39010620117188,-10.48590036391397,10036.622188058038,10026.136287694124,9861.134358095684
2025-08-21 04:00:00+00:00,1,174.97012329101562,-10.48590036391397,10012.588849542099,10002.102949178185,9837.521236495744
2025-08-22 04:00:00+00:00,-1,177.97996520996094,-10.48590036391397,10184.825738158748,10174.339837794834,10006.746606171413
2025-08-25 04:00:00+00:00,1,179.79986572265625,10159.062599187597,0.0,10159.062599187597,10109.06870325408
2025-08-26 04:00:00+00:00,-1,181.7597503662109,-10.159062599188474,10153.985606384405,10143.826543785217,10219.261268929895
2025-08-27 04:00:00+00:00,1,181.5897674560547,10128.595565375641,0.0,10128.595565375641,10209.704148793895
2025-08-28 04:00:00+00:00,1,180.1598358154297,-10.12859556537478,10123.533798476403,10113.405202911028,10129.30766385807
2025-08-29 04:00:00+00:00,1,174.170166015625,-10.12859556537478,9786.962528939071,9776.833933373697,9792.544433959827
2025-09-02 04:00:00+00:00,1,170.77037048339844,-10.12859556537478,9595.921363617044,9585.79276805167,9601.39431004756
2025-09-03 04:00:00+00:00,1,170.61038208007812,-10.12859556537478,9586.931302091694,9576.80270652632,9592.399121122427
2025-09-04 04:00:00+00:00,1,171.65032958984375,-10.12859556537478,9645.367988138298,9635.239392572923,9650.869136001165
2025-09-05 04:00:00+00:00,1,167.01058959960938,-10.12859556537478,9384.651916797065,9374.52332123169,9390.00436762106
2025-09-08 04:00:00+00:00,1,168.30050659179688,-10.12859556537478,9457.13487732228,9447.006281756905,9462.528668143243
2025-09-09 04:00:00+00:00,1,170.7503662109375,-10.12859556537478,9594.797284393415,9584.66868882804,9600.269589715577
2025-09-10 04:00:00+00:00,-1,177.32000732421875,-10.12859556537478,9963.958277203705,9953.82968163833,9969.641130138893
2025-09-11 04:00:00+00:00,-1,177.1699981689453,9938.883744222525,0.0,9938.883744222525,9961.20701451438
2025-09-12 04:00:00+00:00,-1,177.82000732421875,9938.883744222525,0.0,9938.883744222525,9997.753133066768
2025-09-15 04:00:00+00:00,-1,177.75,9938.883744222525,0.0,9938.883744222525,9993.817040859947
2025-09-16 04:00:00+00:00,1,174.8800048828125,9938.883744222525,0.0,9938.883744222525,9832.454418585217
2025-09-17 04:00:00+00:00,1,170.2899932861328,-9.93888374422204,9933.916785829611,9923.97790208539,9574.385579695529
2025-09-18 04:00:00+00:00,1,176.24000549316406,-9.93888374422204,10281.012495910492,10271.07361216627,9908.91910086545
2025-09-19 04:00:00+00:00,-1,176.6699981689453,-9.93888374422204,10306.096244974655,10296.157361230433,9933.095011586507
2025-09-22 04:00:00+00:00,-1,183.6100006103516,10280.698216862971,0.0,10280.698216862971,10323.289749491067
2025-09-23 04:00:00+00:00,-1,178.42999267578125,10280.698216862971,0.0,10280.698216862971,10032.048953044941
2025-09-24 04:00:00+00:00,-1,176.97000122070312,10280.698216862971,0.0,10280.698216862971,9949.96238492528
2025-09-25 04:00:00+00:00,-1,177.69000244140625,10280.698216862971,0.0,10280.698216862971,9990.443737774243
2025-09-26 04:00:00+00:00,-1,178.19000244140625,10280.698216862971,0.0,10280.698216862971,10018.55574070212
2025-09-29 04:00:00+00:00,-1,181.8500061035156,10280.698216862971,0.0,10280.698216862971,10224.335808032629
2025-09-30 04:00:00+00:00,-1,186.5800018310547,10280.698216862971,0.0,10280.698216862971,10490.27511551547
2025-10-01 04:00:00+00:00,-1,187.2400054931641,10280.698216862971,0.0,10280.698216862971,10527.383165278725
2025-10-02 04:00:00+00:00,-1,188.88999938964844,10280.698216862971,0.0,10280.698216862971,10620.152431776618
2025-10-03 04:00:00+00:00,1,187.6199951171875,10280.698216862971,0.0,10280.698216862971,10548.747704124944
2025-10-06 04:00:00+00:00,1,185.5399932861328,-10.28069821686222,10275.56043664465,10265.279738427787,10431.801668995751
2025-10-07 04:00:00+00:00,1,185.0399932861328,-10.28069821686222,10247.869478337892,10237.58878012103,10403.689666067874
2025-10-08 04:00:00+00:00,-1,189.1100006103516,-10.28069821686222,10473.27428458417,10462.993586367307,10632.521781697704
2025-10-09 04:00:00+00:00,-1,192.57000732421875,10447.28367494043,0.0,10447.28367494043,10827.057219439113
